NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
63.800000000000004,21.0,34.4,11.600000000000001,28.199999999999996,3.5999999999999996,7.6,0.0
0.0,1.7999999999999998,62.6,50.4,0.0,1.7999999999999998,0.0,0.0
5.0,100.0,56.599999999999994,13.0,1.6,13.0,5.0,0.0
0.0,69.39999999999999,61.0,17.599999999999998,0.0,17.599999999999998,0.0,0.0
7.3999999999999995,0.0,55.400000000000006,40.6,7.199999999999999,0.0,0.0,0.0
0.4,73.2,58.8,16.8,0.2,16.8,0.4,0.0
70.6,100.0,38.0,1.0,24.4,1.0,70.6,0.0
60.0,92.4,42.199999999999996,8.4,29.599999999999998,8.4,54.400000000000006,0.0
94.8,100.0,7.6,0.0,7.6,0.0,94.8,0.0
95.6,100.0,16.400000000000002,0.0,16.400000000000002,0.0,95.6,0.0
55.60000000000001,13.8,39.0,14.2,27.200000000000003,1.4000000000000001,4.3999999999999995,0.0
69.39999999999999,100.0,39.4,1.2,25.8,1.2,69.39999999999999,0.0
0.0,37.4,65.4,51.800000000000004,0.0,36.199999999999996,0.0,0.0
5.0,0.0,56.2,41.199999999999996,5.0,0.0,0.0,0.0
69.8,27.0,39.800000000000004,8.200000000000001,29.4,3.4000000000000004,16.6,0.0
0.0,25.2,63.6,50.4,0.0,25.2,0.0,0.0
80.2,52.0,26.200000000000003,2.0,24.2,2.0,36.8,0.0
0.0,100.0,65.8,16.2,0.0,16.2,0.0,0.0
0.0,56.99999999999999,62.6,27.200000000000003,0.0,27.200000000000003,0.0,0.0
30.599999999999998,100.0,53.6,7.3999999999999995,13.600000000000001,7.3999999999999995,30.599999999999998,0.0
35.199999999999996,100.0,46.6,11.600000000000001,14.6,11.600000000000001,35.199999999999996,0.0
63.800000000000004,100.0,43.8,5.0,29.799999999999997,5.0,63.800000000000004,0.0
0.0,61.6,66.2,26.400000000000002,0.0,26.400000000000002,0.0,0.0
0.0,9.6,62.6,46.6,0.0,9.6,0.0,0.0
83.2,100.0,25.4,1.0,23.599999999999998,1.0,83.2,0.0
67.0,100.0,36.8,1.6,22.2,1.6,67.0,0.0
18.8,0.0,52.2,38.4,17.4,0.0,0.0,0.0
1.4000000000000001,0.0,58.8,45.4,1.4000000000000001,0.0,0.0,0.0
0.0,64.60000000000001,66.4,25.0,0.0,25.0,0.0,0.0
70.0,100.0,37.4,0.0,29.799999999999997,0.0,70.0,0.0
21.0,0.0,52.0,36.8,18.8,0.0,0.0,0.0
83.39999999999999,100.0,25.6,1.0,23.799999999999997,1.0,83.39999999999999,0.0
14.000000000000002,72.2,54.400000000000006,14.799999999999999,7.199999999999999,14.799999999999999,13.8,0.0
27.200000000000003,0.0,50.0,35.0,23.400000000000002,0.0,0.0,0.0
92.0,100.0,12.0,0.6,11.799999999999999,0.6,92.0,0.0
87.6,100.0,18.2,1.2,16.2,1.2,87.6,0.0
13.600000000000001,100.0,53.800000000000004,11.200000000000001,5.2,11.200000000000001,13.600000000000001,0.0
55.2,0.2,40.400000000000006,13.8,30.0,0.0,0.0,0.0
0.0,100.0,62.8,13.4,0.0,13.4,0.0,0.0
83.39999999999999,83.2,22.6,1.2,21.4,1.2,66.8,0.0
58.599999999999994,63.2,36.199999999999996,9.2,25.8,9.2,33.2,0.0
20.599999999999998,100.0,54.400000000000006,11.0,11.4,11.0,20.599999999999998,0.0
96.39999999999999,100.0,0.0,0.0,0.0,0.0,96.39999999999999,0.0
0.0,100.0,62.0,12.8,0.0,12.8,0.0,0.0
57.199999999999996,0.0,44.6,17.599999999999998,30.4,0.0,0.0,0.0
0.0,100.0,67.0,15.2,0.0,15.2,0.0,0.0
0.0,51.800000000000004,62.6,38.800000000000004,0.0,38.6,0.0,0.0
42.8,0.0,44.2,28.599999999999998,27.400000000000002,0.0,0.0,0.0
17.4,71.6,52.800000000000004,14.399999999999999,10.6,14.399999999999999,15.6,0.0
0.0,100.0,66.2,16.400000000000002,0.0,16.400000000000002,0.0,0.0
77.60000000000001,32.2,29.4,4.6,26.8,4.2,22.8,0.0
66.2,100.0,4.8,4.8,4.0,4.8,66.2,0.0
11.799999999999999,100.0,56.8,11.0,4.8,11.0,11.799999999999999,0.0
