NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
0.0,0.0,62.2,55.400000000000006,0.0,0.0,0.0,0.0
62.4,75.2,43.4,6.2,32.0,6.2,43.8,0.0
0.0,0.2,59.199999999999996,44.2,0.0,0.2,0.0,0.0
0.0,34.2,59.0,37.0,0.0,30.8,0.0,0.0
0.0,0.0,59.0,45.2,0.0,0.0,0.0,0.0
2.1999999999999997,100.0,56.599999999999994,11.4,0.8,11.4,2.1999999999999997,0.0
39.800000000000004,0.0,47.4,25.8,28.799999999999997,0.0,0.0,0.0
0.0,0.0,59.0,46.800000000000004,0.0,0.0,0.0,0.0
30.599999999999998,69.0,48.4,5.4,10.6,5.4,27.0,0.0
25.4,36.6,49.4,15.8,17.4,13.8,6.2,0.0
0.0,0.0,57.8,42.199999999999996,0.0,0.0,0.0,0.0
0.0,33.0,62.6,48.8,0.0,31.8,0.0,0.0
0.0,100.0,18.8,7.000000000000001,0.0,7.000000000000001,0.0,0.0
31.8,0.0,50.4,29.599999999999998,25.4,0.0,0.0,0.0
6.2,0.0,52.6,30.4,5.0,0.0,0.0,0.0
8.6,0.0,52.6,38.4,7.8,0.0,0.0,0.0
0.0,0.0,57.199999999999996,41.4,0.0,0.0,0.0,0.0
0.0,100.0,66.0,10.4,0.0,10.4,0.0,0.0
0.0,0.0,56.8,41.0,0.0,0.0,0.0,0.0
0.0,100.0,60.4,16.400000000000002,0.0,16.400000000000002,0.0,0.0
95.8,100.0,6.6000000000000005,0.0,6.6000000000000005,0.0,95.8,0.0
96.39999999999999,100.0,0.0,0.0,0.0,0.0,96.39999999999999,0.0
0.0,0.0,61.0,52.2,0.0,0.0,0.0,0.0
0.4,0.0,56.39999999999999,40.2,0.4,0.0,0.0,0.0
0.0,37.6,62.6,47.599999999999994,0.0,35.8,0.0,0.0
93.8,100.0,6.800000000000001,0.0,6.800000000000001,0.0,93.8,0.0
18.8,100.0,51.800000000000004,7.8,3.2,7.8,18.8,0.0
16.0,0.0,51.4,32.2,14.6,0.0,0.0,0.0
0.0,100.0,66.0,10.4,0.0,10.4,0.0,0.0
0.0,12.0,62.0,51.6,0.0,12.0,0.0,0.0
22.8,0.0,51.2,33.800000000000004,20.8,0.0,0.0,0.0
0.0,55.60000000000001,60.199999999999996,29.799999999999997,0.0,29.799999999999997,0.0,0.0
0.0,0.8,59.8,47.0,0.0,0.8,0.0,0.0
31.6,0.0,50.4,29.4,25.4,0.0,0.0,0.0
32.800000000000004,100.0,51.0,9.2,20.8,9.2,32.800000000000004,0.0
68.0,22.6,39.800000000000004,6.2,32.6,2.4,10.4,0.0
0.0,100.0,66.2,13.600000000000001,0.0,13.600000000000001,0.0,0.0
78.4,20.4,26.200000000000003,8.200000000000001,25.6,1.0,11.200000000000001,0.0
38.800000000000004,0.0,47.8,25.4,28.599999999999998,0.0,0.0,0.0
1.0,67.0,58.599999999999994,16.0,0.8,16.0,1.0,0.4
62.6,100.0,26.8,5.800000000000001,19.6,5.800000000000001,62.6,0.0
15.2,0.0,51.4,27.6,13.4,0.0,0.0,0.0
39.0,0.0,48.0,24.4,28.799999999999997,0.0,0.0,0.0
85.6,100.0,21.6,1.4000000000000001,21.6,1.4000000000000001,85.6,0.0
23.0,0.0,51.0,34.2,20.8,0.0,0.0,0.0
0.0,14.799999999999999,63.2,52.2,0.0,14.799999999999999,0.0,0.0
61.4,6.6000000000000005,43.4,9.0,32.0,0.6,4.2,0.0
0.0,3.0,60.0,48.4,0.0,3.0,0.0,0.0
0.2,52.6,58.599999999999994,23.799999999999997,0.2,23.799999999999997,0.2,0.2
0.0,0.0,60.6,56.2,0.0,0.0,0.0,0.0
